Architecture,Application Type,Development Type,Development Platform,Language Type,Relative Size,Used Methodology,Agile Method Used,Resource Level,Package Customisation,Industry Sector,Effort,Project Elapsed Time,Project Inactive Time,Duration
Stand alone,Transaction/Production System ,Enhancement,PC,4GL,M1,,,1,No,Communication,1325,3,,3
Multi-tier / Client server,Sales contact management ,Enhancement,Multi,4GL,M2,Don't Know,,1,No,Communication,2909,5.5,0,5.5
,,Enhancement,,,M1,,,1,,Manufacturing,5506,9,0,9
Client server,Transaction/Production System ,Enhancement,,4GL,M1,Yes,,1,,Communication,853,3,,3
,Financial transaction process/accounting ,Enhancement,Multi,4GL,S,Yes,,1,,,295,2.2,,2.2
Stand alone,,Enhancement,MF,4GL,M1,,,1,No,Communication,2244,2,,2
Client server,,New Development,PC,3GL,L,,,4,,,9604,,,
Stand alone,Executive Information System ,Enhancement,,4GL,M1,Yes,,1,,Communication,964,7,,7
,,New Development,MF,3GL,XS,Yes,,1,,Insurance,120,2,,2
Multi-tier with web public interface,Parts selling ,New Development,MR,3GL,S,Yes,,3,No,Manufacturing,784,6.3,,6.3
Client server,Management Information System ,Enhancement,PC,,M2,Yes,,4,No,,8154,,,
,,Enhancement,,3GL,M1,Don't Know,,1,Don't Know,,1261,5,0,5
,Financial transaction process/accounting ,New Development,MF,4GL,M2,,,1,,Banking,3564,,,
Client server,Online analysis and reporting Workflow support & management ,Re-development,PC,3GL,L,Yes,,1,,Government,7489,,,
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,481,6,,6
,Financial transaction process/accounting ,New Development,MR,4GL,L,Don't Know,,1,No,Service Industry,18314,12,0,12
,,Enhancement,MF,3GL,M2,Yes,,1,,Insurance,3594,8,3,8
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,433,2.5,,2.5
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,XS,Yes,,1,,,110,1,,1
Client server,Car Design ,New Development,MR,3GL,M2,Yes,,,No,Manufacturing,15172,14.5,,14.5
Client server,Optimisation for Industrial Scenarios ,New Development,PC,3GL,M1,Yes,,3,No,Manufacturing,3552,10.7,,10.7
Stand alone,,New Development,MF,3GL,M2,Yes,,1,No,Financial,844,,,
,,Enhancement,,,M2,Don't Know,,1,Don't Know,,1820,5,0,5
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,,,1,,Banking,2218,,,
,Complex process control ,New Development,PC,3GL,S,Don't Know,,1,No,Communication,202,1.4,0,1.4
Stand alone,Ordering & provisioning system ,Enhancement,MF,3GL,M1,Yes,,1,,,1709,,,
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,10116,17,,17
Client server,Cars selling ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,2029,8.3,,8.3
,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Yes,,1,,,838,6.6,,6.6
,Personnel system ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Banking,6294,12.1,0,12.1
,,New Development,,,M2,Don't Know,,1,Don't Know,,3112,9,0,9
Stand alone,Transaction/Production System ,Enhancement,MR,4GL,M2,Yes,,1,Yes,Communication,9694,4,,4
,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,,1256,4.6,,4.6
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,934,8,,8
Client server,Marketing management ,New Development,PC,3GL,S,Yes,,3,No,Manufacturing,870,6,,6
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,17999,12,,12
,Financial transaction process/accounting ,New Development,MF,3GL,M2,Don't Know,,1,No,Insurance,35431,13,0,13
,,Enhancement,,3GL,S,,,1,,,473,3.1,0,3.1
Multi-tier,Customer relationship management ,Enhancement,Multi,4GL,M1,,,1,,Communication,364,5.1,,5.1
,Office Information System ,Re-development,MF,3GL,M2,Yes,,1,No,Utilities,25069,,,
Multi-tier / Client server,Management system ,New Development,Multi,4GL,M2,Don't Know,,1,No,Manufacturing,1406,8.4,0,8.4
Client server,Electronic Data Interchange ,New Development,PC,3GL,,Yes,,1,,,1717,4.7,,4.7
Stand alone,,Enhancement,MF,3GL,XL,Yes,,1,No,Government,126133,15,,15
,,New Development,PC,3GL,M1,Yes,,1,,Government,673,8,1,8
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M2,,,1,No,Communication,2825,3,,3
,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Yes,,1,,,440,5.3,,5.3
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,446,2.9,,2.9
Client server,Marketing management ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,567,6.1,,6.1
,,New Development,,,L,Don't Know,,1,Don't Know,,11397,,,
,"Job, case, incident, project management ",New Development,MR,3GL,M2,Don't Know,,1,No,Manufacturing,3011,3.8,0,3.8
,Data Provisioning ,Enhancement,,3GL,S,Yes,,1,,Electronics & Computers,3186,,,
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,S,Yes,,1,,Financial,306,0.4,0,0.4
Client server,Executive Information System ,New Development,MF,3GL,M1,Yes,,1,,Government,2538,7,,7
Client server,Business Network Management ,Enhancement,PC,4GL,S,Yes,,1,,Communication,406,2,,2
Client server,Reparation management ,Enhancement,Multi,3GL,M1,Yes,,3,,Manufacturing,648,4,,4
Client server,Logistic or supply planning & control ,New Development,PC,3GL,M1,Yes,,1,,Service Industry,21600,12,0,12
,,Enhancement,,,M1,,,1,,,555,3.4,0,3.4
Stand alone,Transaction/Production System ,Enhancement,MF,ApG,M2,,,1,No,Communication,4414,8.8,0,8.8
,Financial transaction process/accounting ,Enhancement,Multi,4GL,XS,Yes,,1,,,197,0.72,,0.72
Client server,Executive Information System ,New Development,MF,4GL,M2,No,,1,No,Financial,5191,,,
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,5440,14,,14
Stand alone,,New Development,MF,3GL,M1,Yes,,4,,Manufacturing,3958,6,0,6
,Financial transaction process/accounting ,New Development,PC,3GL,M1,Don't Know,,1,No,Electronics & Computers,1562,4.9,0,4.9
Client server,Customer management ,Enhancement,MR,3GL,S,Yes,,,Yes,Manufacturing,1197,6.3,,6.3
Stand alone,To determine which IVR credit card refresh used ,New Development,MR,3GL,M1,Yes,,1,,Communication,788,8,,8
,Web-based Application ,New Development,PC,4GL,S,,,4,,Banking,172,1,,1
Client server,Office Information System ,Re-development,MR,4GL,M1,No,,2,No,Government,1010,8,,8
,,Enhancement,,,S,,,1,,,901,3.2,0,3.2
,Web-based Application ,Re-development,PC,4GL,M2,,,4,,Service Industry,5084,7.6,,7.6
,,Enhancement,,4GL,M1,Yes,,1,,Insurance,1395,5,,5
,Management of Licences and Permits ,Enhancement,MF,ApG,M2,Yes,,1,,Government,3622,12,,12
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Don't Know,,1,No,Insurance,423,7,0,7
Client server,Online analysis and reporting ,Enhancement,Multi,4GL,M1,Yes,,1,,Government,846,10,0,10
,Office Information System ,Enhancement,,3GL,S,Yes,,1,,Communication,5958,6,,6
,Voice Provisioning ,Enhancement,,3GL,S,Yes,,1,,Communication,10886,,,
,,New Development,,,L,Don't Know,,1,Don't Know,,18240,15,0,15
,Financial transaction process/accounting ,New Development,Multi,4GL,S,Yes,,1,,,1313,5,,5
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,S,,,1,,Communication,114,4,,4
,Financial transaction process/accounting ,New Development,PC,3GL,S,Don't Know,,1,No,Insurance,1259,,0,
,Trading ,New Development,MF,3GL,S,Don't Know,,1,No,Insurance,2071,4,0,4
Client server,Catalogue/register of things or events Online analysis and reporting Electronic Data Interchange ,Enhancement,Multi,3GL,M1,Yes,,1,,Government,1550,5,0,5
Client server,Management Information System ,Enhancement,MR,4GL,S,Yes,,1,,Communication,1582,11,,11
Stand alone,Complex process control ,Enhancement,MF,4GL,M2,Yes,,1,No,Government,3571,7,,7
,Telecom & network management ,Enhancement,,4GL,M1,No,,1,,Communication,582,10,,10
Stand alone,Transaction/Production System ,Enhancement,MR,4GL,M2,Yes,,1,,Communication,2778,4,,4
Stand alone,Transaction/Production System ,New Development,MF,ApG,XL,Yes,,1,No,Manufacturing,36286,52,,52
,Web-based Application ,New Development,PC,3GL,,,,4,,Electronics & Computers,510,0.6,,0.6
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,,Financial,5831,4,,4
Multi-tier,Customer relationship management ,Enhancement,Multi,,S,,,1,,Communication,76,4.3,,4.3
Stand alone,,Enhancement,MF,3GL,M2,Yes,,2,No,Insurance,1634,9,,9
Stand alone,Transaction/Production System ,New Development,MF,,S,Yes,,1,No,Financial,720,6,0,6
,Financial transaction process/accounting ,New Development,Multi,4GL,M1,Yes,,1,,,2539,5,,5
Stand alone,,Enhancement,,4GL,M1,Yes,,1,No,,1604,4.8,2.6,4.8
Stand alone,Business system ,New Development,MR,ApG,L,Yes,,1,No,Insurance,11581,16,,16
Stand alone,Complex process control ,New Development,MF,3GL,M1,Yes,,4,No,Utilities,1073,13,0,13
Client server,Device or interface driver Financial transaction process/accounting Complex process control ,Enhancement,PC,4GL,M1,Yes,,1,,Government,3566,13,3,13
Stand alone,Database customers for Parts ,Enhancement,,4GL,S,Yes,,3,No,Manufacturing,641,5.3,,5.3
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,M1,,,1,,Communication,38,4,,4
Stand alone,Engineering Software ,New Development,PC,4GL,M2,Yes,,1,,Medical & Health Care,6254,5.2,,5.2
Multi-tier with web interface,relatively complex application ,Enhancement,Multi,4GL,M1,Yes,,1,,Communication,902,,,
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1070,11,,11
,,New Development,,,M2,Don't Know,,1,Don't Know,,5236,10,0,10
Multi-tier,Online analysis and reporting ,Enhancement,Multi,4GL,XXS,,,1,,Manufacturing,144,,,
Multi-tier / Client server,Financial application area ,New Development,Multi,4GL,M1,Yes,,1,,,1609,6.2,,6.2
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,627,4,,4
,Decision Support System ,New Development,PC,4GL,M2,Yes,,1,No,Utilities,780,7,,7
Client server,Factory reporting ,Enhancement,MR,3GL,S,Yes,,3,Yes,Manufacturing,713,1.6,,1.6
,,Enhancement,Multi,3GL,M1,Yes,,1,,Government,1279,10,,10
,Complex process control ,Enhancement,PC,3GL,S,Don't Know,,1,No,Communication,148,0.6,0,0.6
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,Yes,,1,,Government,9611,21.6,,21.6
Client server,Parts documentation ,Enhancement,MR,3GL,M2,Yes,,,No,Manufacturing,9068,19.4,,19.4
,Financial transaction process/accounting ,Enhancement,,3GL,S,,,1,,Banking,6722,36.7,,36.7
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,12028,12,,12
,Financial transaction process/accounting ,Enhancement,Multi,4GL,XS,Yes,,1,,,347,1.8,,1.8
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1484,9,,9
,MiddleWare ,Enhancement,PC,3GL,M2,,,1,,Service Industry,9201,7.1,,7.1
,MS Business Platform ,Enhancement,,3GL,S,,,1,,,491,,,
Client server,Knowledge Based ,Enhancement,MR,3GL,M2,No,,2,No,Communication,9142,8,,8
Client server,Management Information System ,New Development,PC,ApG,,Yes,,2,No,Government,180,1.5,,1.5
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,11374,16,,16
Client server,Catalogue/register of things or events Workflow support & management Electronic Data Interchange ,New Development,PC,3GL,S,Yes,,1,,Government,3995,14,,14
,,Enhancement,MR,3GL,,Yes,,1,,Communication,18016,11,0,11
Client server,Car design ,Enhancement,Multi,3GL,XS,Yes,,3,No,Manufacturing,508,4.1,,4.1
Client server,,Enhancement,MF,3GL,XL,Yes,,2,No,Insurance,4831,8,,8
,,New Development,,,M1,Don't Know,,1,Don't Know,,388,3,0,3
Client server,,Enhancement,,,S,,,1,,,782,2.1,0,2.1
Stand alone,Management Information System ,New Development,MF,3GL,M1,Yes,,4,No,Government,11824,28,,28
Multi-tier,Workflow support & management ,Enhancement,Multi,,S,,,1,,Communication,109,4.3,,4.3
Client server,Executive Information System ,New Development,MF,4GL,L,No,,1,No,Banking,7388,,,
Multi-tier / Client server,Logistic or supply planning & control ,New Development,Multi,3GL,M2,Don't Know,,1,No,Service Industry,,6.2,0,6.2
Multi-tier / Client server,Logistic or supply planning & control ,New Development,Multi,4GL,M2,Don't Know,,1,No,Communication,490,1.8,0,1.8
Client server,Transaction/Production System ,New Development,PC,4GL,L,Yes,,1,No,Service Industry,9621,8,0,8
Client server,Transaction/Production System ,New Development,PC,4GL,M2,,,1,No,Communication,988,5,,5
Multi-tier,Stock control & order processing ,Enhancement,Multi,3GL,S,,,1,,Communication,208,6.1,,6.1
Client server,Catalogue/register of things or events Customer billing/relationship management Document management Geographic or spatial information system Mathematical modelling (finance or eng.) Electronic Data Interchange ,New Development,Multi,3GL,L,Yes,,1,,Government,34947,18,0,18
,,Enhancement,,,M1,,,1,,,1272,2.6,0,2.6
,,Enhancement,MF,4GL,XS,Yes,,1,,Insurance,68,1,0,1
Stand alone,,New Development,PC,3GL,M1,Yes,,1,,Banking,5484,9,0,9
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,237,13,,13
,Financial transaction process/accounting ,Enhancement,MF,,S,Yes,,1,,Financial,782,,,
Client server,Production management ,Enhancement,MR,4GL,M1,Yes,,,No,Manufacturing,559,3.2,,3.2
,Government ,New Development,PC,4GL,L,,,1,,Government,5618,24.1,,24.1
Multi-tier,"Document management Financial transaction process/accounting Image, video or sound processing ",Enhancement,Multi,3GL,M1,Yes,,1,,Government,5971,12,0,12
Client server,Financial transaction process/accounting ,New Development,MF,3GL,M1,Yes,,1,,Banking,4304,12,,12
,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,,1798,6.2,,6.2
,,New Development,,3GL,M2,Yes,,1,,,4280,20,7,20
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,1993,9,,9
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,2345,11,,11
,,New Development,Multi,4GL,M1,,,1,,,1944,3.1,,3.1
,,New Development,MF,3GL,M2,Yes,,1,,Insurance,4554,10,0,10
,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Yes,,1,,,912,5.3,,5.3
,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,313,3,0,3
Stand alone,Products management ,Enhancement,MF,3GL,S,Yes,,3,,Manufacturing,724,8,,8
Stand alone,,New Development,MF,3GL,L,,,4,No,Manufacturing,49034,42,,42
,not recorded ,Enhancement,,,M2,,,1,,Medical & Health Care,17344,37,,37
,Embedded system/real-time application ,Enhancement,MR,3GL,XS,Yes,,1,,Manufacturing,623,,,
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,545,13,,13
Multi-tier,Catalogue/register of things or events ,Enhancement,Multi,4GL,XXS,,,1,,Manufacturing,62,,,
,Transaction/Production System ,Enhancement,,4GL,S,Yes,,1,,Communication,472,6,,6
,,New Development,,3GL,M2,Yes,,1,,Insurance,4581,5,0,5
,,Enhancement,MF,3GL,M2,Yes,,1,,Insurance,1472,6,2,6
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,4238,14,,14
,Financial transaction process/accounting ,Enhancement,PC,3GL,S,,,1,,Banking,2949,,,
,Financial transaction process/accounting ,Enhancement,MF,,S,Don't Know,,1,No,Banking,326,1.6,0,1.6
Stand alone,Management Information System ,Re-development,MF,3GL,M2,Yes,,4,No,,6837,,,
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,4752,10,,10
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,1783,10,,10
Stand alone,Management of Licences and Permits ,Enhancement,MF,ApG,L,Yes,,1,,Government,2531,15,,15
,,New Development,MF,4GL,L,,,1,No,Mining,17607,23,,23
Client server,Management or performance reporting Complex process control ,New Development,Multi,4GL,M1,Yes,,1,,Manufacturing,1572,3.5,0.5,3.5
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,269,11,,11
Client server,,New Development,MF,ApG,XL,,,1,No,Financial,83250,24,,24
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,,,1,,Banking,3724,8,,8
,Financial transaction process/accounting ,New Development,MF,3GL,M2,,,1,,Banking,14205,26.2,,26.2
Stand alone,Operating system or software utility (Re-usable component) ,New Development,PC,3GL,S,Yes,,4,,Insurance,245,2,,2
,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,,,1,,Banking,924,,,
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,4852,9,,9
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,18897,24,,24
Multi-tier,Online analysis and reporting ,Enhancement,Multi,4GL,XXS,,,1,,Manufacturing,41,,,
Multi-tier,,New Development,Multi,4GL,M1,Yes,,1,,Insurance,5486,16.2,0.17,16.2
Multi-tier,Data Warehouse system ,Enhancement,Multi,3GL,S,,,1,,Communication,37,,,
Client server,Cars selling ,Enhancement,PC,3GL,M1,Yes,,3,No,Manufacturing,3087,5.6,,5.6
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,9253,24,,24
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,1077,,,
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Don't Know,,1,No,Banking,119,6,0,6
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,6021,20,,20
Multi-tier with web public interface,Financial application area ,New Development,Multi,3GL,M1,Yes,,1,,,1047,4.5,,4.5
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,Don't Know,,1,No,Insurance,5138,3,0,3
,,New Development,,,M1,Yes,,1,,Communication,1843,3,,3
Client server,Case management ,New Development,Multi,3GL,M2,Yes,,1,,Government,19163,20,0,20
,Financial transaction process/accounting ,New Development,Multi,4GL,M1,Yes,,1,,,909,4.3,,4.3
,Logistic or supply planning & control ,New Development,PC,3GL,,Yes,,1,,Wholesale & Retail,4280,3.7,,3.7
Multi-tier,Online. eSales ,Enhancement,Multi,,M1,,,1,,Communication,444,4.1,,4.1
,Management of Licences and Permits ,Enhancement,MF,ApG,S,Yes,,1,,Government,812,9,,9
Stand alone,Simulation of the behaviour of vehicles on the road ,Enhancement,PC,4GL,M2,Yes,,3,Yes,Manufacturing,1329,8.6,,8.6
Client server,Complex process control ,New Development,PC,4GL,S,Yes,,4,No,Government,207,5,0,5
Multi-tier,Online. eSales ,Enhancement,Multi,,S,,,1,,Communication,122,4,,4
,Financial transaction process/accounting ,Enhancement,MR,3GL,S,Don't Know,,1,No,Insurance,3112,4,0,4
Client server,Cost Computing ,Enhancement,,3GL,M1,Yes,,3,No,Manufacturing,1341,11.8,,11.8
,Voice Provisioning ,Enhancement,,3GL,S,Yes,,1,,Communication,6343,,,
Stand alone,Business Customer billing/relationship management ,Enhancement,MF,3GL,M1,Yes,,1,,Communication,5313,4,,4
,,New Development,Multi,3GL,M1,Yes,,1,,Government,888,4,0.37,4
,Financial transaction process/accounting ,Enhancement,MF,,M1,Don't Know,,1,No,Banking,2237,4.4,0,4.4
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M1,Don't Know,,1,No,Communication,493,3.3,0,3.3
Stand alone,,Re-development,MF,3GL,,Yes,,4,,Manufacturing,2196,5,0,5
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,M1,Yes,,1,,,838,6.6,,6.6
,,Enhancement,MF,3GL,M1,Yes,,1,,Communication,1026,13,7,13
Stand alone,Management Information System ,Enhancement,PC,4GL,M1,No,,1,No,Banking,2652,,,
,relatively complex application ,Enhancement,MF,3GL,XS,Yes,,1,,Communication,133,,,
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,4GL,M2,Don't Know,,1,No,Insurance,2303,2,0,2
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,500,3.3,0,3.3
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,7879,16,,16
,Software for machine control ,New Development,,3GL,XS,,,1,,Manufacturing,144,24,,24
Stand alone,Management of Licences and Permits ,Enhancement,MF,ApG,S,Yes,,1,,Government,1138,18,,18
Stand alone,Financial transaction process/accounting Graphics & publishing tools or system Management or performance reporting Online analysis and reporting Personal productivity (e.g. spreadsheet) ,Enhancement,PC,3GL,L,Yes,,1,,Government,3394,9,0,9
Client server,,Enhancement,,,XXS,,,1,,,45,3.6,0,3.6
Multi-tier / Client server,Personnel system ,Enhancement,Multi,3GL,M2,Don't Know,,1,No,Manufacturing,806,4.4,0,4.4
Stand alone,,Enhancement,MR,4GL,L,,,1,,Electronics & Computers,29411,15,,15
Client server,"Geographic or spatial information system Image, video or sound processing Job, case, incident, project management Online analysis and reporting Electronic Data Interchange ",New Development,PC,3GL,,Yes,,1,,Government,2692,6.5,,6.5
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M2,Don't Know,,1,No,Manufacturing,2202,6,0,6
,Decision Support System ,New Development,PC,4GL,M2,Yes,,1,No,Utilities,657,8,2,8
Stand alone,,New Development,MF,3GL,,,,4,No,Financial,107,2,,2
,Stock control & order processing ,Enhancement,,3GL,M1,Yes,,1,,Wholesale & Retail,1287,,,
,Tools or system ,Enhancement,PC,3GL,S,Don't Know,,1,No,Communication,144,0.4,0,0.4
Client server,Handling payment of social pensions within government ,Enhancement,Multi,3GL,M1,Yes,,1,,Government,8830,7,0,7
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,468,21.6,,21.6
,Security ,New Development,PC,4GL,L,,,1,,Service Industry,1321,9.9,,9.9
,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,,,1,,Banking,2938,,,
,Financial transaction process/accounting ,New Development,MF,3GL,M2,Yes,,1,,Insurance,12805,10,,10
Multi-tier with web public interface,Content management system Dynamic website ,New Development,PC,3GL,M1,Yes,Yes,1,,Education,491,3,,3
Client server,Catalogue/register of things or events Document management Online analysis and reporting ,Enhancement,Multi,3GL,M2,Yes,,1,,Government,4656,8,0,8
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,1769,6,,6
,Management Information System ,New Development,,,S,Yes,,2,No,Insurance,1884,10,,10
,,New Development,,,M1,Don't Know,,1,Don't Know,,672,3,0,3
,Software for machine control ,Enhancement,,3GL,XXS,,,1,,Manufacturing,75,24,,24
Client server,Embedded system/real-time application ,Enhancement,Multi,3GL,XS,Yes,,1,,Communication,781,,,
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1264,6,,6
,Customer billing/relationship management ,New Development,PC,3GL,,Yes,,1,,Communication,5411,3.1,,3.1
,Management Information System ,Enhancement,,4GL,S,Yes,,1,,Communication,978,6,,6
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,1609,3.9,,3.9
Stand alone,Business Customer billing/relationship management ,Enhancement,MF,4GL,S,Yes,,1,,Communication,452,2,,2
Stand alone,,New Development,MF,3GL,XS,,,1,,Electronics & Computers,1056,5,,5
,Management Information System ,New Development,,,M2,No,,4,No,Electronics & Computers,2400,6,0,6
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,33795,24,,24
,,New Development,,,M2,Don't Know,,1,Don't Know,,971,6,0,6
Client server,Business Stock control & order processing ,Enhancement,PC,4GL,M1,Yes,,1,,Communication,1844,3,,3
,,Enhancement,PC,3GL,S,,,1,,,578,3.2,,3.2
Stand alone,Management Information System ,New Development,MF,3GL,M1,Yes,,4,No,Government,2400,6,,6
Client server,Automated Data Acquisition ,New Development,PC,3GL,M1,Yes,Yes,4,,Manufacturing,1047,8,1,8
,Company hierarchy and staff directory ,Enhancement,,3GL,S,Yes,,1,Yes,Communication,680,12,,12
,,New Development,,,M2,Don't Know,,1,Don't Know,,2982,7,0,7
,,Not Defined,,,M1,Yes,,1,,,750,10,7,10
,,New Development,,3GL,M1,Don't Know,,1,Don't Know,,1664,5,0,5
Stand alone,Ordering & provisioning system ,Enhancement,MF,3GL,M1,Yes,,1,,,1650,,,
,,Enhancement,,,XXS,,,1,,,560,0.16,0,0.16
,Financial transaction process/accounting ,New Development,MF,3GL,M1,,,1,,Banking,4103,,,
,,Enhancement,MF,3GL,XS,,,1,,,568,1.6,,1.6
,,New Development,Multi,3GL,M1,Yes,,1,,Government,1507,8,,8
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,M2,Don't Know,,1,No,Insurance,13896,3,0,3
Client server,Management of selling conditions to society ,New Development,PC,4GL,L,Yes,,,Yes,Manufacturing,7868,14.6,,14.6
,Transaction/Production System ,Enhancement,MF,3GL,L,Yes,,3,Yes,Financial,8549,8,,8
Client server,Transaction/Production System ,Re-development,PC,4GL,M1,Yes,,1,No,Utilities,434,3,0,3
Stand alone,Transaction/Production System ,New Development,PC,3GL,S,,,1,No,Communication,320,1,,1
Stand alone,,New Development,PC,3GL,M2,,,1,No,Government,2727,11,,11
Client server,Transaction/Production System ,Enhancement,PC,ApG,M2,,,1,No,Communication,2516,2,0,2
,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,494,7.2,0.17,7.2
Stand alone,Transaction/Production System ,Enhancement,MR,4GL,S,Yes,,1,,Communication,2189,2,,2
,Financial transaction process/accounting ,Enhancement,Multi,4GL,XS,Yes,,1,,,135,0.64,,0.64
Multi-tier,Financial transaction process/accounting ,Enhancement,Multi,4GL,S,,,1,,Communication,131,4.7,,4.7
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,133,3.6,0,3.6
Stand alone,Transaction/Production System ,New Development,PC,3GL,,Yes,,4,No,Professional Services,3785,3,0,3
,,Enhancement,MF,4GL,M1,Yes,,1,,Government,1402,4,,4
,,Enhancement,MF,3GL,XS,Yes,,1,,Insurance,108,3,2,3
Multi-tier,Decision Support System ,New Development,PC,4GL,L,Yes,,1,Yes,,19448,16.2,0,16.2
Stand alone,,New Development,MR,4GL,M2,,,1,,Electronics & Computers,14596,10,,10
Client server,Personal productivity (e.g. spreadsheet) ,Enhancement,Multi,4GL,M2,Yes,,1,,Government,6433,13,0,13
Stand alone,,New Development,MF,,M2,Don't Know,,1,No,Insurance,11700,44,0,44
Stand alone,Management Information System ,New Development,MR,3GL,S,Yes,,2,No,Service Industry,659,3,,3
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Yes,,1,,Financial,547,,,
,,Enhancement,PC,3GL,M1,Yes,,1,,Government,1211,7,,7
,,New Development,,,M1,Don't Know,,1,Don't Know,,926,6,0,6
Stand alone,Transaction/Production System ,Enhancement,MR,4GL,M2,Yes,,1,,Communication,8967,8,,8
Client server,,New Development,Multi,4GL,XL,,,1,,Banking,50457,11.4,,11.4
Client server,,Enhancement,,4GL,M1,,,1,,,1445,1.6,0,1.6
,Financial transaction process/accounting ,New Development,MF,3GL,S,,,1,,Banking,980,,,
Client server,After Sales management Contract service ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,957,9,,9
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,L,Yes,,1,,Financial,2069,23.5,1.3,23.5
,,Enhancement,MF,4GL,M2,Yes,,1,,Government,7980,30.4,19.4,30.4
,Financial transaction process/accounting ,Enhancement,MF,4GL,M1,,,1,,Banking,2987,85.2,,85.2
,,Enhancement,,2GL,M2,,,1,,,1305,2.9,0,2.9
Client server,Parts selling ,Enhancement,Multi,4GL,XS,Yes,,3,Yes,Manufacturing,315,6.9,,6.9
,,New Development,MF,3GL,M2,Yes,,1,,Banking,6053,22,6.8,22
,Sales contact management ,New Development,MF,,M1,Don't Know,,1,No,Insurance,3760,9,0,9
